A : (1024,1024):{nnz:10,sparsity=0.000954%}
CSR2CSC_ALG2,0.089998,4.68%,2.15%,1.92%
SpMV_COO,0.022300,5.61%,3.57%,3.06%
SpMV_CSR,0.027762,18.03%,7.79%,7.48%
SpMV_CSC,0.028558,0.40%,3.19%,1.20%
CSR_SPMM,0.049493,3.45%,2.76%,1.79%
COO_SPMM,0.038798,5.57%,2.35%,2.78%
SpGEMM,0.247239,10.17%,3.91%,4.51%
A : (1024,1024):{nnz:2684,sparsity=0.255966%}
COO2CSR,0.015815,10.07%,9.35%,5.71%
CSR2COO,0.019456,5.26%,5.26%,3.72%
CSR2CSC_ALG1,0.120036,2.37%,1.90%,1.33%
CSR2CSC_ALG2,0.097052,9.73%,2.93%,3.83%
SpMV_COO,0.023893,20.00%,5.71%,7.73%
SpMV_CSR,0.029241,22.57%,8.95%,9.28%
SpMV_CSC,0.030834,22.88%,7.01%,9.01%
CSR_SPMM,0.047104,2.17%,2.17%,1.54%
COO_SPMM,0.039026,2.33%,2.92%,2.05%
SpGEMM,0.253952,4.84%,4.84%,3.35%
A : (1024,1024):{nnz:5371,sparsity=0.512218%}
COO2CSR,0.015701,17.39%,8.70%,8.63%
CSR2COO,0.017522,5.19%,6.49%,3.51%
CSR2CSC_ALG1,0.389575,1.20%,0.91%,0.77%
CSR2CSC_ALG2,0.275797,2.85%,1.61%,1.34%
SpMV_COO,0.022414,5.08%,4.06%,2.75%
SpMV_CSR,0.026852,6.78%,4.66%,4.17%
SpMV_CSC,0.030720,3.33%,6.67%,3.33%
CSR_SPMM,0.049152,12.50%,6.25%,5.21%
COO_SPMM,0.040391,1.41%,1.13%,1.34%
SpGEMM,0.253724,15.83%,3.14%,6.02%
A : (1024,1024):{nnz:10732,sparsity=1.023483%}
COO2CSR,0.016043,21.28%,10.64%,10.09%
CSR2COO,0.017749,67.31%,13.46%,25.64%
CSR2CSC_ALG1,0.397540,3.81%,1.60%,1.61%
CSR2CSC_ALG2,0.275570,1.45%,1.16%,0.84%
SpMV_COO,0.022414,5.08%,4.06%,2.75%
SpMV_CSR,0.028900,48.82%,7.87%,18.39%
SpMV_CSC,0.030037,2.27%,1.14%,1.70%
CSR_SPMM,0.053589,1.27%,0.64%,0.96%
COO_SPMM,0.045852,9.43%,1.74%,3.67%
SpGEMM,0.286492,3.30%,3.85%,2.07%
A : (1024,1024):{nnz:21470,sparsity=2.047539%}
COO2CSR,0.018887,13.86%,13.25%,7.23%
CSR2COO,0.016156,1.41%,4.93%,2.79%
CSR2CSC_ALG1,0.401522,0.99%,0.79%,0.64%
CSR2CSC_ALG2,0.284558,2.56%,2.84%,1.62%
SpMV_COO,0.025372,4.93%,3.14%,2.69%
SpMV_CSR,0.028103,5.67%,5.26%,3.21%
SpMV_CSC,0.034247,4.65%,4.32%,2.64%
CSR_SPMM,0.076117,2.24%,1.79%,1.50%
COO_SPMM,0.066674,7.51%,1.71%,2.92%
SpGEMM,0.414492,4.50%,2.42%,1.93%
A : (1024,1024):{nnz:42939,sparsity=4.094982%}
COO2CSR,0.018432,5.56%,5.56%,3.93%
CSR2COO,0.017408,52.94%,11.76%,20.38%
CSR2CSC_ALG1,0.406414,2.80%,1.48%,1.42%
CSR2CSC_ALG2,0.288313,4.78%,2.33%,2.11%
SpMV_COO,0.025941,53.95%,13.16%,20.98%
SpMV_CSR,0.028900,2.76%,7.87%,3.87%
SpMV_CSC,0.034816,2.94%,2.94%,2.08%
CSR_SPMM,0.098873,1.50%,1.61%,1.05%
COO_SPMM,0.098190,10.54%,3.01%,4.22%
SpGEMM,0.682780,4.83%,3.42%,2.83%
A : (1024,1024):{nnz:85800,sparsity=8.182526%}
COO2CSR,0.016612,4.79%,7.53%,4.11%
CSR2COO,0.019684,76.88%,16.76%,29.06%
CSR2CSC_ALG1,0.408462,0.78%,0.72%,0.49%
CSR2CSC_ALG2,0.291954,5.22%,2.14%,2.24%
SpMV_COO,0.023666,3.85%,9.13%,4.02%
SpMV_CSR,0.027648,3.70%,3.70%,2.62%
SpMV_CSC,0.050631,1.12%,2.92%,1.47%
CSR_SPMM,0.155307,0.88%,1.10%,0.66%
COO_SPMM,0.151211,0.90%,0.45%,0.48%
SpGEMM,1.202517,3.55%,2.33%,2.07%
